video_id,category,video_length,raw_video_file_length,phi_mrr,video_mrr,mrr_delta,phi_t_ndcg,video_temporal_ndcg,t_ndcg_delta,phi_cos_sim_mean,phi_cos_sim_min,video_cos_sim_mean,video_cos_sim_min,phi_cos_sim_residual_mean,phi_cos_sim_residual_min,video_cos_sim_residual_mean,video_cos_sim_residual_min,apcs_nll,apcs_perplexity,video_surprisal_var,video_surprisal_avg,video_surprisal_max,text_cos_sim,video_cos_sim,text_cos_sim_residual,video_cos_sim_residual,apcs_surprisal_nll,caption_surprisal_nll,caption_perplexity,norm_id,llama_mrr,llama_recall_at_1,llama_cos_sim_mean,llama_cos_sim_min,llama_mrr_start,llama_mrr_middle,llama_mrr_end,llama_mrr_delta,llama_vs_phi_mrr
Bertram-Craft_12-clip-25,Survival,60,66,0.4127826923076923,0.2841545150751008,0.1286281772325915,0.7780556890211977,0.661246229161413,0.1168094598597847,0.2233104722222222,0.0858172857142857,0.8606233969330788,0.7642238686482111,0.0294278099206349,-0.0929693571428571,0.6075435864428679,0.3455831459723413,0.4858139038085937,2.000734623273213,0.0109243420884013,0.1216436326503753,0.5092411637306213,0.2233104722222222,0.8606233969330788,0.0294278099206349,0.6075435864428679,0.4858139038085937,0.4858139038085937,2.000734623273213,Bertram-Craft_12-clip-25,0.537037,0.222222,0.39210100000000003,0.2472266666666667,0.555556,0.611111,0.444444,0.2528824849248992,0.12425430769230766
Bertram-Craft_2-clip-3,Survival,60,66,0.3386647115384615,0.2841545150751008,0.0545101964633607,0.7743752483261908,0.6615230697037494,0.1128521786224413,0.1860872333333333,0.0399894285714285,0.7580148627360662,0.6145895291119814,0.063828746031746,-0.0854662857142857,0.6419952300687631,0.4434769557168086,1.0741048177083334,3.2250301043192544,0.0266970098018646,0.1331721395254135,0.7620462775230408,0.1860872333333333,0.7580148627360662,0.063828746031746,0.6419952300687631,1.0741048177083334,1.0741048177083334,3.2250301043192544,Bertram-Craft_2-clip-3,0.6296296666666666,0.3333333333333333,0.31657688888888885,0.19568366666666667,0.777778,0.666667,0.444444,0.34547515159156583,0.29096495512820514
Bertram-Craft_5-clip-33,Survival,60,88,0.363333673076923,0.2660264170039418,0.0973072560729811,0.7796978399055648,0.652215866215817,0.1274819736897479,0.3290928464285714,0.1323562142857142,0.8767072881261507,0.8265203709403673,0.0417767583333333,-0.0963367142857142,0.6785428275664648,0.5545697386066119,1.0170450846354169,3.112874672810237,0.0052241240628063,0.0967116728425026,0.4987465143203735,0.3290928464285714,0.8767072881261507,0.0417767583333333,0.6785428275664648,1.0170450846354169,1.0170450846354169,3.112874672810237,Bertram-Craft_5-clip-33,0.472222,0.111111,0.5463656666666667,0.41912466666666665,0.444444,0.611111,0.361111,0.20619558299605817,0.10888832692307698
Chad-Zuber_10-clip-20,Survival,60,66,0.33853125,0.2841545150751007,0.0543767349248992,0.7786855524717601,0.6663568898340625,0.1123286626376975,0.178650465079365,0.0458411428571428,0.6538388778765997,0.5023623226831356,0.0346893789682539,-0.1249462142857142,0.5373933570614705,0.3087190892547369,1.1117350260416667,3.3198652346928914,0.0408721752464771,0.1495905369520187,0.9402682781219482,0.178650465079365,0.6538388778765997,0.0346893789682539,0.5373933570614705,1.1117350260416667,1.1117350260416667,3.3198652346928914,Chad-Zuber_10-clip-20,0.6111110000000001,0.3333333333333333,0.31049377777777776,0.12471966666666667,0.833333,0.444444,0.555556,0.32695648492489937,0.27257975000000007
Chad-Zuber_4-clip-2,Survival,60,71,0.3442569807692308,0.2843470844791492,0.0599098962900815,0.7665738187333525,0.670344214982627,0.0962296037507255,0.1882696726190476,0.0109743571428571,0.6841427882512411,0.5833769806971153,0.0463072567460317,-0.1080354285714285,0.4604394549193482,0.2930911164730787,0.9132700602213542,2.99363825917244,0.0408852994441986,0.1987241208553314,0.7214463949203491,0.1882696726190476,0.6841427882512411,0.0463072567460317,0.4604394549193482,0.9132700602213542,0.9132700602213542,2.99363825917244,Chad-Zuber_4-clip-2,0.5555553333333333,0.222222,0.3965898888888889,0.23667466666666667,0.611111,0.611111,0.444444,0.2712082488541841,0.2112983525641025
Chad-Zuber_5-clip-0,Survival,60,61,0.3698347647058823,0.2615977443603886,0.1082370203454937,0.7860223641333094,0.6441163823884481,0.1419059817448612,0.223895,0.0950238461538461,0.5445588044822216,0.1724221079299847,0.0863470576923076,-0.0258596153846153,0.4588334610064824,0.0848904948992033,1.1387003580729167,3.869466410080592,0.0847078412771225,0.2339192181825637,0.978542685508728,0.223895,0.5445588044822216,0.0863470576923076,0.4588334610064824,1.1387003580729167,1.1387003580729167,3.869466410080592,Chad-Zuber_5-clip-0,0.5277776666666666,0.222222,0.31189766666666663,0.18909466666666666,0.527778,0.444444,0.611111,0.266179922306278,0.1579429019607843
Climate-Change_0-clip-4,Nature/Doc,60,65,0.3610529607843137,0.2841545150751008,0.0768984457092128,0.7810114744322472,0.6605139614646212,0.120497512967626,0.2561404145299145,0.0983593076923076,0.5403367665906748,0.3503723169366519,0.0391777072649572,-0.075041,0.3128126924857496,0.0803155536753668,1.0689615885416666,3.3384096225102744,0.0403472818434238,0.2709543108940124,0.8012502789497375,0.2561404145299145,0.5403367665906748,0.0391777072649572,0.3128126924857496,1.0689615885416666,1.0689615885416666,3.3384096225102744,Climate-Change_0-clip-4,0.462963,0.111111,0.42422600000000005,0.23886366666666667,0.555556,0.444444,0.388889,0.1788084849248992,0.10191003921568631
Climate-Change_2-clip-4,Nature/Doc,60,61,0.3582045686274509,0.2615977443603886,0.0966068242670623,0.7704463789704492,0.6430886415505652,0.127357737419884,0.199138032051282,0.0893736923076923,0.5691877231001854,0.4131060298532247,0.0014247286324786,-0.1142080769230769,0.2753168372437357,0.0432909269196291,1.2961181640625,3.883859896659851,0.026395158842206,0.2629519701004028,0.7864338755607605,0.199138032051282,0.5691877231001854,0.0014247286324786,0.2753168372437357,1.2961181640625,1.2961181640625,3.883859896659851,Climate-Change_2-clip-4,0.6018519999999999,0.333333,0.3104566666666667,0.21133900000000003,0.666667,0.527778,0.611111,0.34025425563961137,0.24364743137254902
Climate-Change_6-clip-7,Nature/Doc,60,64,0.3539589411764706,0.2782412380151849,0.0757177031612856,0.7724975920326062,0.6594194763655301,0.113078115667076,0.2076168098290598,0.0891818461538461,0.5872921360035738,0.3376483349129557,-0.0031306645299145,-0.0932617692307692,0.4481811280517528,0.1318904433635831,1.2961181640625,3.883859896659851,0.0492564961314201,0.3292622864246368,0.993759274482727,0.2076168098290598,0.5872921360035738,-0.0031306645299145,0.4481811280517528,1.2961181640625,1.2961181640625,3.883859896659851,Climate-Change_6-clip-7,0.398148,0.0,0.4630658888888889,0.26143666666666665,0.416667,0.333333,0.444444,0.11990676198481509,0.044189058823529415
Climate-Change_7-clip-3,Nature/Doc,60,62,0.3787078235294117,0.2782412380151849,0.1004665855142267,0.7779874905868821,0.65797003077624,0.1200174598106421,0.2407166324786324,0.1022120769230769,0.5832973358531793,0.4069414947492381,0.0502999935897435,-0.0653800769230769,0.4083960832407077,0.1897708383233597,1.0968180338541669,3.3187775115172067,0.048335961997509,0.2509671151638031,0.9073359966278076,0.2407166324786324,0.5832973358531793,0.0502999935897435,0.4083960832407077,1.0968180338541669,1.0968180338541669,3.3187775115172067,Climate-Change_7-clip-3,0.4351853333333333,0.0,0.3586364444444444,0.23704899999999998,0.388889,0.416667,0.5,0.1569440953181484,0.05647750980392163
